n,max_N,min_M
9903,100276,948299
9904,9904,1038671
9905,29716,1018859
9906,16720,1031855
9907,44584,1003991
9908,9908,1038667
9909,29728,1018847
9910,37636,1010939
9911,66904,981671
9912,9912,1038663
9913,33460,1015115
9914,14872,1033703
9915,50200,998375
9916,25108,1023467
9917,29752,1018823
9918,75328,973247
9919,225988,822587
9920,9920,1038655
9921,29764,1018811
9922,80512,968063
9923,80512,968063
9924,9924,1038651
9925,29776,1018799
9926,22336,1026239
9927,67012,981563
9928,9928,1038647
9929,50272,998303
9930,14896,1033679
9931,44692,1003883
9932,11176,1037399
9933,29800,1018775
9934,190996,857579
9935,190996,857579
9936,9936,1038639
9937,29812,1018763
9938,37744,1010831
9939,44728,1003847
9940,9940,1038635
9941,29824,1018751
