n,max_N,min_M
1,4,1048571
2,2,1048573
3,16,1048559
4,4,1048571
5,16,1048559
6,16,1048559
7,52,1048523
8,8,1048567
9,52,1048523
10,16,1048559
11,52,1048523
12,16,1048559
13,40,1048535
14,52,1048523
15,160,1048415
16,16,1048559
17,52,1048523
18,52,1048523
19,88,1048487
20,20,1048555
21,64,1048511
22,52,1048523
23,160,1048415
24,24,1048551
25,88,1048487
26,40,1048535
27,9232,1039343
28,52,1048523
29,88,1048487
30,160,1048415
31,9232,1039343
32,32,1048543
33,100,1048475
34,52,1048523
35,160,1048415
36,52,1048523
37,112,1048463
38,88,1048487
39,304,1048271
40,40,1048535
41,9232,1039343
42,64,1048511
43,196,1048379
44,52,1048523
45,136,1048439
46,160,1048415
47,9232,1039343
48,48,1048527
49,148,1048427
50,88,1048487
51,232,1048343
52,52,1048523
53,160,1048415
54,9232,1039343
55,9232,1039343
56,56,1048519
57,196,1048379
58,88,1048487
59,304,1048271
60,160,1048415
61,184,1048391
62,9232,1039343
63,9232,1039343
64,64,1048511
65,196,1048379
66,100,1048475
67,304,1048271
68,68,1048507
69,208,1048367
70,160,1048415
71,9232,1039343
72,72,1048503
73,9232,1039343
74,112,1048463
75,340,1048235
76,88,1048487
77,232,1048343
78,304,1048271
79,808,1047767
80,80,1048495
81,244,1048331
82,9232,1039343
83,9232,1039343
84,84,1048491
85,256,1048319
86,196,1048379
87,592,1047983
88,88,1048487
89,304,1048271
90,136,1048439
91,9232,1039343
92,160,1048415
93,280,1048295
94,9232,1039343
95,9232,1039343
96,96,1048479
97,9232,1039343
98,148,1048427
99,448,1048127
100,100,1048475
101,304,1048271
102,232,1048343
103,9232,1039343
104,104,1048471
105,808,1047767
106,160,1048415
107,9232,1039343
108,9232,1039343
109,9232,1039343
110,9232,1039343
111,9232,1039343
112,112,1048463
113,340,1048235
114,196,1048379
115,520,1048055
116,116,1048459
117,352,1048223
118,304,1048271
119,808,1047767
120,160,1048415
121,9232,1039343
122,184,1048391
123,628,1047947
124,9232,1039343
125,9232,1039343
126,9232,1039343
127,4372,1044203
128,128,1048447
129,9232,1039343
130,196,1048379
131,592,1047983
132,132,1048443
133,400,1048175
134,304,1048271
135,916,1047659
136,136,1048439
137,9232,1039343
138,208,1048367
139,628,1047947
140,160,1048415
141,424,1048151
142,9232,1039343
143,9232,1039343
144,144,1048431
145,9232,1039343
146,9232,1039343
147,9232,1039343
148,148,1048427
149,448,1048127
150,340,1048235
151,1024,1047551
152,152,1048423
153,520,1048055
154,232,1048343
155,9232,1039343
156,304,1048271
157,472,1048103
158,808,1047767
159,9232,1039343
160,160,1048415
161,9232,1039343
162,244,1048331
163,736,1047839
164,9232,1039343
165,9232,1039343
166,9232,1039343
167,9232,1039343
168,168,1048407
169,4372,1044203
170,256,1048319
171,9232,1039343
172,196,1048379
173,520,1048055
174,592,1047983
175,9232,1039343
176,176,1048399
177,532,1048043
178,304,1048271
179,808,1047767
180,180,1048395
181,544,1048031
182,9232,1039343
183,9232,1039343
184,184,1048391
185,628,1047947
186,280,1048295
187,952,1047623
188,9232,1039343
189,9232,1039343
190,9232,1039343
191,4372,1044203
192,192,1048383
193,9232,1039343
194,9232,1039343
195,9232,1039343
196,196,1048379
197,592,1047983
198,448,1048127
199,9232,1039343
200,200,1048375
201,1024,1047551
202,304,1048271
203,916,1047659
204,232,1048343
205,616,1047959
206,9232,1039343
207,9232,1039343
208,208,1048367
209,628,1047947
210,808,1047767
211,952,1047623
212,212,1048363
213,640,1047935
214,9232,1039343
215,9232,1039343
216,9232,1039343
217,736,1047839
218,9232,1039343
219,1672,1046903
220,9232,1039343
221,9232,1039343
222,9232,1039343
223,9232,1039343
224,224,1048351
225,4372,1044203
226,340,1048235
227,1024,1047551
228,228,1048347
229,688,1047887
230,520,1048055
231,9232,1039343
232,232,1048343
233,9232,1039343
234,352,1048223
235,9232,1039343
236,304,1048271
237,712,1047863
238,808,1047767
239,9232,1039343
240,240,1048335
241,724,1047851
242,9232,1039343
243,9232,1039343
244,244,1048331
245,736,1047839
246,628,1047947
247,1672,1046903
248,9232,1039343
249,952,1047623
250,9232,1039343
251,9232,1039343
252,9232,1039343
253,9232,1039343
254,4372,1044203
255,13120,1035455
256,256,1048319
257,9232,1039343
258,9232,1039343
259,9232,1039343
260,260,1048315
261,784,1047791
262,592,1047983
263,9232,1039343
264,264,1048311
265,9232,1039343
266,400,1048175
267,1204,1047371
268,304,1048271
269,808,1047767
270,916,1047659
271,2752,1045823
272,272,1048303
273,820,1047755
274,9232,1039343
275,9232,1039343
276,276,1048299
277,832,1047743
278,628,1047947
279,1888,1046687
280,280,1048295
281,952,1047623
282,424,1048151
283,9232,1039343
284,9232,1039343
285,9232,1039343
286,9232,1039343
287,4372,1044203
288,288,1048287
289,868,1047707
290,9232,1039343
291,9232,1039343
292,9232,1039343
293,9232,1039343
294,9232,1039343
295,2248,1046327
296,296,1048279
297,9232,1039343
298,448,1048127
299,9232,1039343
300,340,1048235
301,904,1047671
302,1024,1047551
303,3076,1045499
304,304,1048271
305,916,1047659
306,520,1048055
307,1384,1047191
308,308,1048267
309,928,1047647
310,9232,1039343
311,9232,1039343
312,312,1048263
313,9232,1039343
314,472,1048103
315,1600,1046975
316,808,1047767
317,952,1047623
318,9232,1039343
319,9232,1039343
320,320,1048255
321,964,1047611
322,9232,1039343
323,9232,1039343
324,324,1048251
325,976,1047599
326,736,1047839
327,9232,1039343
328,9232,1039343
329,1672,1046903
330,9232,1039343
331,1492,1047083
332,9232,1039343
333,9232,1039343
334,9232,1039343
335,9232,1039343
336,336,1048239
337,9232,1039343
338,4372,1044203
339,4372,1044203
340,340,1048235
341,1024,1047551
342,9232,1039343
343,9232,1039343
344,344,1048231
345,9232,1039343
346,520,1048055
347,9232,1039343
348,592,1047983
349,1048,1047527
350,9232,1039343
351,9232,1039343
352,352,1048223
353,9232,1039343
354,532,1048043
355,1600,1046975
356,356,1048219
357,1072,1047503
358,808,1047767
359,9232,1039343
360,360,1048215
361,2752,1045823
362,544,1048031
363,1636,1046939
364,9232,1039343
365,9232,1039343
366,9232,1039343
367,4192,1044383
368,368,1048207
369,1108,1047467
370,628,1047947
371,1672,1046903
372,372,1048203
373,1120,1047455
374,952,1047623
375,2536,1046039
376,9232,1039343
377,9232,1039343
378,9232,1039343
379,2752,1045823
380,9232,1039343
381,9232,1039343
382,4372,1044203
383,13120,1035455
384,384,1048191
385,1156,1047419
386,9232,1039343
387,9232,1039343
388,9232,1039343
389,9232,1039343
390,9232,1039343
391,9232,1039343
392,392,1048183
393,2248,1046327
394,592,1047983
395,9232,1039343
396,448,1048127
397,1192,1047383
398,9232,1039343
399,9232,1039343
400,400,1048175
401,1204,1047371
402,1024,1047551
403,1816,1046759
404,404,1048171
405,1216,1047359
406,916,1047659
407,2752,1045823
408,408,1048167
409,1384,1047191
410,616,1047959
411,9232,1039343
412,9232,1039343
413,9232,1039343
414,9232,1039343
415,9232,1039343
416,416,1048159
417,9232,1039343
418,628,1047947
419,1888,1046687
420,808,1047767
421,1264,1047311
422,952,1047623
423,3220,1045355
424,424,1048151
425,9232,1039343
426,640,1047935
427,2752,1045823
428,9232,1039343
429,9232,1039343
430,9232,1039343
431,4372,1044203
432,9232,1039343
433,1300,1047275
434,736,1047839
435,1960,1046615
436,9232,1039343
437,9232,1039343
438,1672,1046903
439,2968,1045607
440,9232,1039343
441,1492,1047083
442,9232,1039343
443,2248,1046327
444,9232,1039343
445,9232,1039343
446,9232,1039343
447,39364,1009211
448,448,1048127
449,9232,1039343
450,4372,1044203
451,4372,1044203
452,452,1048123
453,1360,1047215
454,1024,1047551
455,3076,1045499
456,456,1048119
457,9232,1039343
458,688,1047887
459,9232,1039343
460,520,1048055
461,1384,1047191
462,9232,1039343
463,9232,1039343
464,464,1048111
465,1396,1047179
466,9232,1039343
467,9232,1039343
468,468,1048107
469,1408,1047167
470,9232,1039343
471,9232,1039343
472,472,1048103
473,1600,1046975
474,712,1047863
475,3616,1044959
476,808,1047767
477,1432,1047143
478,9232,1039343
479,9232,1039343
480,480,1048095
481,2752,1045823
482,724,1047851
483,2176,1046399
484,9232,1039343
485,9232,1039343
486,9232,1039343
487,9232,1039343
488,488,1048087
489,4192,1044383
490,736,1047839
491,9232,1039343
492,628,1047947
493,1480,1047095
494,1672,1046903
495,14308,1034267
496,9232,1039343
497,1492,1047083
498,952,1047623
499,2248,1046327
500,9232,1039343
501,9232,1039343
502,9232,1039343
503,9232,1039343
504,9232,1039343
505,2752,1045823
506,9232,1039343
507,2896,1045679
508,4372,1044203
509,4372,1044203
510,13120,1035455
511,39364,1009211
512,512,1048063
513,1540,1047035
514,9232,1039343
515,9232,1039343
516,9232,1039343
517,9232,1039343
518,9232,1039343
519,3508,1045067
520,520,1048055
521,9232,1039343
522,784,1047791
523,9232,1039343
524,592,1047983
525,1576,1046999
526,9232,1039343
527,9232,1039343
528,528,1048047
529,1588,1046987
530,9232,1039343
531,9232,1039343
532,532,1048043
533,1600,1046975
534,1204,1047371
535,3616,1044959
536,536,1048039
537,1816,1046759
538,808,1047767
539,9232,1039343
540,916,1047659
541,1624,1046951
542,2752,1045823
543,9232,1039343
544,544,1048031
545,1636,1046939
546,820,1047755
547,2464,1046111
548,9232,1039343
549,9232,1039343
550,9232,1039343
551,4192,1044383
552,552,1048023
553,9232,1039343
554,832,1047743
555,2500,1046075
556,628,1047947
557,1672,1046903
558,1888,1046687
559,8080,1040495
560,560,1048015
561,1684,1046891
562,952,1047623
563,2536,1046039
564,564,1048011
565,1696,1046879
566,9232,1039343
567,9232,1039343
568,9232,1039343
569,2752,1045823
570,9232,1039343
571,2896,1045679
572,9232,1039343
573,9232,1039343
574,4372,1044203
575,13120,1035455
576,576,1047999
577,1732,1046843
578,868,1047707
579,2608,1045967
580,9232,1039343
581,9232,1039343
582,9232,1039343
583,3940,1044635
584,9232,1039343
585,2968,1045607
586,9232,1039343
587,9232,1039343
588,9232,1039343
589,9232,1039343
590,2248,1046327
591,5992,1042583
592,592,1047983
593,9232,1039343
594,9232,1039343
595,9232,1039343
596,596,1047979
597,1792,1046783
598,9232,1039343
599,9232,1039343
600,600,1047975
601,4372,1044203
602,904,1047671
603,5812,1042763
604,1024,1047551
605,1816,1046759
606,3076,1045499
607,9232,1039343
608,608,1047967
609,9232,1039343
610,916,1047659
611,2752,1045823
612,612,1047963
613,1840,1046735
614,1384,1047191
615,10528,1038047
616,616,1047959
617,9232,1039343
618,928,1047647
619,9232,1039343
620,9232,1039343
621,9232,1039343
622,9232,1039343
623,9232,1039343
624,624,1047951
625,1876,1046699
626,9232,1039343
627,9232,1039343
628,628,1047947
629,1888,1046687
630,1600,1046975
631,4264,1044311
632,808,1047767
633,3616,1044959
634,952,1047623
635,3220,1045355
636,9232,1039343
637,9232,1039343
638,9232,1039343
639,41524,1007051
640,640,1047935
641,2752,1045823
642,964,1047611
643,2896,1045679
644,9232,1039343
645,9232,1039343
646,9232,1039343
647,4372,1044203
648,648,1047927
649,9232,1039343
650,976,1047599
651,9232,1039343
652,736,1047839
653,1960,1046615
654,9232,1039343
655,9232,1039343
656,9232,1039343
657,1972,1046603
658,1672,1046903
659,2968,1045607
660,9232,1039343
661,9232,1039343
662,1492,1047083
663,4480,1044095
664,9232,1039343
665,2248,1046327
666,9232,1039343
667,21688,1026887
668,9232,1039343
669,9232,1039343
670,9232,1039343
671,39364,1009211
672,672,1047903
673,2752,1045823
674,9232,1039343
675,9232,1039343
676,4372,1044203
677,4372,1044203
678,4372,1044203
679,5812,1042763
680,680,1047895
681,39364,1009211
682,1024,1047551
683,3076,1045499
684,9232,1039343
685,9232,1039343
686,9232,1039343
687,6964,1041611
688,688,1047887
689,9232,1039343
690,9232,1039343
691,9232,1039343
692,692,1047883
693,2080,1046495
694,9232,1039343
695,9232,1039343
696,696,1047879
697,9232,1039343
698,1048,1047527
699,3544,1045031
700,9232,1039343
701,9232,1039343
702,9232,1039343
703,250504,798071
704,704,1047871
705,2116,1046459
706,9232,1039343
707,9232,1039343
708,708,1047867
709,2128,1046447
710,1600,1046975
711,4804,1043771
712,712,1047863
713,3616,1044959
714,1072,1047503
715,3220,1045355
716,808,1047767
717,2152,1046423
718,9232,1039343
719,9232,1039343
720,720,1047855
721,2164,1046411
722,2752,1045823
723,3256,1045319
724,724,1047851
725,2176,1046399
726,1636,1046939
727,4912,1043663
728,9232,1039343
729,2464,1046111
730,9232,1039343
731,9232,1039343
732,9232,1039343
733,9232,1039343
734,4192,1044383
735,11176,1037399
736,736,1047839
737,9232,1039343
738,1108,1047467
739,3328,1045247
740,740,1047835
741,2224,1046351
742,1672,1046903
743,14308,1034267
744,744,1047831
745,8080,1040495
746,1120,1047455
747,4264,1044311
748,952,1047623
749,2248,1046327
750,2536,1046039
751,21688,1026887
752,9232,1039343
753,2260,1046315
754,9232,1039343
755,9232,1039343
756,9232,1039343
757,9232,1039343
758,2752,1045823
759,5128,1043447
760,9232,1039343
761,2896,1045679
762,9232,1039343
763,9232,1039343
764,4372,1044203
765,4372,1044203
766,13120,1035455
767,39364,1009211
768,768,1047807
769,2308,1046267
770,1156,1047419
771,3472,1045103
772,9232,1039343
773,9232,1039343
774,9232,1039343
775,9232,1039343
776,9232,1039343
777,3940,1044635
778,9232,1039343
779,3508,1045067
780,9232,1039343
781,9232,1039343
782,9232,1039343
783,9232,1039343
784,784,1047791
785,9232,1039343
786,2248,1046327
787,3544,1045031
788,788,1047787
789,2368,1046207
790,9232,1039343
791,9232,1039343
792,792,1047783
793,9232,1039343
794,1192,1047383
795,39364,1009211
796,9232,1039343
797,9232,1039343
798,9232,1039343
799,12148,1036427
800,800,1047775
801,4372,1044203
802,1204,1047371
803,3616,1044959
804,1024,1047551
805,2416,1046159
806,1816,1046759
807,39364,1009211
808,808,1047767
809,9232,1039343
810,1216,1047359
811,9232,1039343
812,916,1047659
813,2440,1046135
814,2752,1045823
815,9232,1039343
816,816,1047759
817,2452,1046123
818,1384,1047191
819,3688,1044887
820,820,1047755
821,2464,1046111
822,9232,1039343
823,9232,1039343
824,9232,1039343
825,9232,1039343
826,9232,1039343
827,4192,1044383
828,9232,1039343
829,9232,1039343
830,9232,1039343
831,18952,1029623
832,832,1047743
833,2500,1046075
834,9232,1039343
835,9232,1039343
836,836,1047739
837,2512,1046063
838,1888,1046687
839,8080,1040495
840,840,1047735
841,4264,1044311
842,1264,1047311
843,3796,1044779
844,952,1047623
845,2536,1046039
846,3220,1045355
847,8584,1039991
848,848,1047727
849,9232,1039343
850,9232,1039343
851,9232,1039343
852,852,1047723
853,2560,1046015
854,2752,1045823
855,5776,1042799
856,9232,1039343
857,2896,1045679
858,9232,1039343
859,9232,1039343
860,9232,1039343
861,9232,1039343
862,4372,1044203
863,13120,1035455
864,9232,1039343
865,9232,1039343
866,1300,1047275
867,3904,1044671
868,868,1047707
869,2608,1045967
870,1960,1046615
871,190996,857579
872,9232,1039343
873,9232,1039343
874,9232,1039343
875,3940,1044635
876,1672,1046903
877,2632,1045943
878,2968,1045607
879,10024,1038551
880,9232,1039343
881,9232,1039343
882,1492,1047083
883,3976,1044599
884,9232,1039343
885,9232,1039343
886,2248,1046327
887,5992,1042583
888,9232,1039343
889,21688,1026887
890,9232,1039343
891,8584,1039991
892,9232,1039343
893,9232,1039343
894,39364,1009211
895,39364,1009211
896,896,1047679
897,2752,1045823
898,9232,1039343
899,9232,1039343
900,4372,1044203
901,4372,1044203
902,4372,1044203
903,9232,1039343
904,904,1047671
905,5812,1042763
906,1360,1047215
907,13120,1035455
908,1024,1047551
909,2728,1045847
910,3076,1045499
911,9232,1039343
912,912,1047663
913,9232,1039343
914,9232,1039343
915,9232,1039343
916,916,1047659
917,2752,1045823
918,9232,1039343
919,9232,1039343
920,920,1047655
921,9232,1039343
922,1384,1047191
923,10528,1038047
924,9232,1039343
925,9232,1039343
926,9232,1039343
927,15856,1032719
928,928,1047647
929,9232,1039343
930,1396,1047179
931,4192,1044383
932,9232,1039343
933,9232,1039343
934,9232,1039343
935,9232,1039343
936,936,1047639
937,250504,798071
938,1408,1047167
939,9232,1039343
940,9232,1039343
941,9232,1039343
942,9232,1039343
943,9556,1039019
944,944,1047631
945,2836,1045739
946,1600,1046975
947,4264,1044311
948,948,1047627
949,2848,1045727
950,3616,1044959
951,6424,1042151
952,952,1047623
953,3220,1045355
954,1432,1047143
955,4840,1043735
956,9232,1039343
957,9232,1039343
958,9232,1039343
959,41524,1007051
960,960,1047615
961,2884,1045691
962,2752,1045823
963,4336,1044239
964,964,1047611
965,2896,1045679
966,2176,1046399
967,9232,1039343
968,9232,1039343
969,4912,1043663
970,9232,1039343
971,4372,1044203
972,9232,1039343
973,9232,1039343
974,9232,1039343
975,9880,1038695
976,976,1047599
977,9232,1039343
978,4192,1044383
979,4408,1044167
980,980,1047595
981,2944,1045631
982,9232,1039343
983,9232,1039343
984,984,1047591
985,3328,1045247
986,1480,1047095
987,7504,1041071
988,1672,1046903
989,2968,1045607
990,14308,1034267
991,15064,1033511
992,9232,1039343
993,8080,1040495
994,1492,1047083
995,4480,1044095
996,996,1047579
997,2992,1045583
998,2248,1046327
999,11392,1037183
1000,9232,1039343
1001,21688,1026887
1002,9232,1039343
1003,8584,1039991
1004,9232,1039343
1005,9232,1039343
1006,9232,1039343
1007,39364,1009211
1008,9232,1039343
1009,9232,1039343
1010,2752,1045823
1011,4552,1044023
1012,9232,1039343
1013,9232,1039343
1014,2896,1045679
1015,6856,1041719
1016,4372,1044203
1017,9232,1039343
1018,4372,1044203
1019,5812,1042763
1020,13120,1035455
1021,13120,1035455
1022,39364,1009211
1023,118096,930479
1024,1024,1047551
1025,3076,1045499
1026,1540,1047035
1027,4624,1043951
1028,9232,1039343
1029,9232,1039343
1030,9232,1039343
1031,6964,1041611
1032,9232,1039343
1033,9232,1039343
1034,9232,1039343
1035,9232,1039343
1036,9232,1039343
1037,9232,1039343
1038,3508,1045067
1039,10528,1038047
1040,1040,1047535
1041,9232,1039343
1042,9232,1039343
1043,9232,1039343
1044,1044,1047531
1045,3136,1045439
1046,9232,1039343
1047,9232,1039343
1048,1048,1047527
1049,3544,1045031
1050,1576,1046999
1051,45520,1003055
1052,9232,1039343
1053,9232,1039343
1054,9232,1039343
1055,250504,798071
1056,1056,1047519
1057,9232,1039343
1058,1588,1046987
1059,4768,1043807
1060,9232,1039343
1061,9232,1039343
1062,9232,1039343
1063,8080,1040495
1064,1064,1047511
1065,12148,1036427
1066,1600,1046975
1067,4804,1043771
1068,1204,1047371
1069,3208,1045367
1070,3616,1044959
1071,10852,1037723
1072,1072,1047503
1073,3220,1045355
1074,1816,1046759
1075,4840,1043735
1076,1076,1047499
1077,3232,1045343
1078,9232,1039343
1079,9232,1039343
1080,1080,1047495
1081,9232,1039343
1082,1624,1046951
1083,9232,1039343
1084,2752,1045823
1085,3256,1045319
1086,9232,1039343
1087,24784,1023791
1088,1088,1047487
1089,3268,1045307
1090,1636,1046939
1091,4912,1043663
1092,1092,1047483
1093,3280,1045295
1094,2464,1046111
1095,7396,1041179
1096,9232,1039343
1097,9232,1039343
1098,9232,1039343
1099,4948,1043627
1100,9232,1039343
1101,9232,1039343
1102,4192,1044383
1103,11176,1037399
1104,1104,1047471
1105,9232,1039343
1106,9232,1039343
1107,9232,1039343
1108,1108,1047467
1109,3328,1045247
1110,2500,1046075
1111,7504,1041071
1112,1112,1047463
1113,9232,1039343
1114,1672,1046903
1115,14308,1034267
1116,1888,1046687
1117,3352,1045223
1118,8080,1040495
1119,17008,1031567
1120,1120,1047455
1121,4264,1044311
1122,1684,1046891
1123,5056,1043519
1124,1124,1047451
1125,3376,1045199
1126,2536,1046039
1127,21688,1026887
1128,1128,1047447
1129,8584,1039991
1130,1696,1046879
1131,5092,1043483
1132,9232,1039343
1133,9232,1039343
1134,9232,1039343
1135,14560,1034015
1136,9232,1039343
1137,3412,1045163
1138,2752,1045823
1139,5128,1043447
1140,9232,1039343
1141,9232,1039343
1142,2896,1045679
1143,7720,1040855
1144,9232,1039343
1145,9232,1039343
1146,9232,1039343
1147,5812,1042763
1148,4372,1044203
1149,4372,1044203
1150,13120,1035455
1151,39364,1009211
1152,1152,1047423
1153,9232,1039343
1154,1732,1046843
1155,5200,1043375
1156,1156,1047419
1157,3472,1045103
1158,2608,1045967
1159,7828,1040747
1160,9232,1039343
1161,190996,857579
1162,9232,1039343
1163,9232,1039343
1164,9232,1039343
1165,9232,1039343
1166,3940,1044635
1167,11824,1036751
1168,9232,1039343
1169,3508,1045067
1170,2968,1045607
1171,5272,1043303
1172,9232,1039343
1173,9232,1039343
1174,9232,1039343
1175,9232,1039343
1176,9232,1039343
1177,3976,1044599
1178,9232,1039343
1179,13444,1035131
1180,2248,1046327
1181,3544,1045031
1182,5992,1042583
1183,45520,1003055
1184,1184,1047391
1185,21688,1026887
1186,9232,1039343
1187,9232,1039343
1188,9232,1039343
1189,9232,1039343
1190,9232,1039343
1191,15280,1033295
1192,1192,1047383
1193,39364,1009211
1194,1792,1046783
1195,9232,1039343
1196,9232,1039343
1197,9232,1039343
1198,9232,1039343
1199,12148,1036427
1200,1200,1047375
1201,4372,1044203
1202,4372,1044203
1203,5416,1043159
1204,1204,1047371
1205,3616,1044959
1206,5812,1042763
1207,8152,1040423
1208,1208,1047367
1209,13120,1035455
1210,1816,1046759
1211,39364,1009211
1212,3076,1045499
1213,3640,1044935
1214,9232,1039343
1215,27700,1020875
1216,1216,1047359
1217,9232,1039343
1218,9232,1039343
1219,9232,1039343
1220,1220,1047355
1221,3664,1044911
1222,2752,1045823
1223,9232,1039343
1224,1224,1047351
1225,9232,1039343
1226,1840,1046735
1227,9232,1039343
1228,1384,1047191
1229,3688,1044887
1230,10528,1038047
1231,12472,1036103
1232,1232,1047343
1233,9232,1039343
1234,9232,1039343
1235,9232,1039343
1236,1236,1047339
1237,3712,1044863
1238,9232,1039343
1239,9232,1039343
1240,9232,1039343
1241,4192,1044383
1242,9232,1039343
1243,9448,1039127
1244,9232,1039343
1245,9232,1039343
1246,9232,1039343
1247,18952,1029623
1248,1248,1047327
1249,250504,798071
1250,1876,1046699
1251,5632,1042943
1252,9232,1039343
1253,9232,1039343
1254,9232,1039343
1255,14308,1034267
1256,1256,1047319
1257,9556,1039019
1258,1888,1046687
1259,8080,1040495
1260,1600,1046975
1261,3784,1044791
1262,4264,1044311
1263,138400,910175
1264,1264,1047311
1265,3796,1044779
1266,3616,1044959
1267,5704,1042871
1268,1268,1047307
1269,3808,1044767
1270,3220,1045355
1271,8584,1039991
1272,9232,1039343
1273,4840,1043735
1274,9232,1039343
1275,39364,1009211
1276,9232,1039343
1277,9232,1039343
1278,41524,1007051
1279,65608,982967
1280,1280,1047295
1281,3844,1044731
1282,2752,1045823
1283,5776,1042799
1284,1284,1047291
1285,3856,1044719
1286,2896,1045679
1287,9232,1039343
1288,9232,1039343
1289,9232,1039343
1290,9232,1039343
1291,5812,1042763
1292,9232,1039343
1293,9232,1039343
1294,4372,1044203
1295,13120,1035455
1296,1296,1047279
1297,9232,1039343
1298,9232,1039343
1299,9232,1039343
1300,1300,1047275
1301,3904,1044671
1302,9232,1039343
1303,9232,1039343
1304,1304,1047271
1305,4408,1044167
1306,1960,1046615
1307,190996,857579
1308,9232,1039343
1309,9232,1039343
1310,9232,1039343
1311,19924,1028651
1312,9232,1039343
1313,3940,1044635
1314,1972,1046603
1315,5920,1042655
1316,1672,1046903
1317,3952,1044623
1318,2968,1045607
1319,10024,1038551
1320,9232,1039343
1321,15064,1033511
1322,9232,1039343
1323,5956,1042619
1324,1492,1047083
1325,3976,1044599
1326,4480,1044095
1327,13444,1035131
1328,9232,1039343
1329,3988,1044587
1330,2248,1046327
1331,5992,1042583
1332,9232,1039343
1333,9232,1039343
1334,21688,1026887
1335,21688,1026887
1336,9232,1039343
1337,8584,1039991
1338,9232,1039343
1339,6784,1041791
1340,9232,1039343
1341,9232,1039343
1342,39364,1009211
1343,39364,1009211
1344,1344,1047231
1345,9232,1039343
1346,2752,1045823
1347,6064,1042511
1348,9232,1039343
1349,9232,1039343
1350,9232,1039343
1351,17332,1031243
1352,4372,1044203
1353,6856,1041719
1354,4372,1044203
1355,9232,1039343
1356,4372,1044203
1357,4372,1044203
1358,5812,1042763
1359,13768,1034807
1360,1360,1047215
1361,13120,1035455
1362,39364,1009211
1363,39364,1009211
1364,1364,1047211
1365,4096,1044479
1366,3076,1045499
1367,9232,1039343
1368,9232,1039343
1369,4624,1043951
1370,9232,1039343
1371,10420,1038155
1372,9232,1039343
1373,9232,1039343
1374,6964,1041611
1375,20896,1027679
1376,1376,1047199
1377,9232,1039343
1378,9232,1039343
1379,9232,1039343
1380,9232,1039343
1381,9232,1039343
1382,9232,1039343
1383,95956,952619
1384,1384,1047191
1385,10528,1038047
1386,2080,1046495
1387,6244,1042331
1388,9232,1039343
1389,9232,1039343
1390,9232,1039343
1391,15856,1032719
1392,1392,1047183
1393,4180,1044395
1394,9232,1039343
1395,9232,1039343
1396,1396,1047179
1397,4192,1044383
1398,3544,1045031
1399,9448,1039127
1400,9232,1039343
1401,45520,1003055
1402,9232,1039343
1403,9232,1039343
1404,9232,1039343
1405,9232,1039343
1406,250504,798071
1407,250504,798071
1408,1408,1047167
1409,9232,1039343
1410,2116,1046459
1411,6352,1042223
1412,9232,1039343
1413,9232,1039343
1414,9232,1039343
1415,9556,1039019
1416,1416,1047159
1417,8080,1040495
1418,2128,1046447
1419,9232,1039343
1420,1600,1046975
1421,4264,1044311
1422,4804,1043771
1423,14416,1034159
1424,1424,1047151
1425,4276,1044299
1426,3616,1044959
1427,6424,1042151
1428,1428,1047147
1429,4288,1044287
1430,3220,1045355
1431,9664,1038911
1432,1432,1047143
1433,4840,1043735
1434,2152,1046423
1435,39364,1009211
1436,9232,1039343
1437,9232,1039343
1438,9232,1039343
1439,41524,1007051
1440,1440,1047135
1441,9232,1039343
1442,2164,1046411
1443,6496,1042079
1444,2752,1045823
1445,4336,1044239
1446,3256,1045319
1447,10996,1037579
1448,1448,1047127
1449,24784,1023791
1450,2176,1046399
1451,9232,1039343
1452,1636,1046939
1453,4360,1044215
1454,4912,1043663
1455,14740,1033835
1456,9232,1039343
1457,4372,1044203
1458,2464,1046111
1459,6568,1042007
1460,9232,1039343
1461,9232,1039343
1462,9232,1039343
1463,9880,1038695
1464,9232,1039343
1465,4948,1043627
1466,9232,1039343
1467,9232,1039343
1468,4192,1044383
1469,4408,1044167
1470,11176,1037399
1471,190996,857579
1472,1472,1047103
1473,9232,1039343
1474,9232,1039343
1475,9232,1039343
1476,1476,1047099
1477,4432,1044143
1478,3328,1045247
1479,9988,1038587
1480,1480,1047095
1481,7504,1041071
1482,2224,1046351
1483,9232,1039343
1484,1672,1046903
1485,4456,1044119
1486,14308,1034267
1487,15064,1033511
1488,1488,1047087
1489,4468,1044107
1490,8080,1040495
1491,8080,1040495
1492,1492,1047083
1493,4480,1044095
1494,4264,1044311
1495,10096,1038479
1496,1496,1047079
1497,5056,1043519
1498,2248,1046327
1499,11392,1037183
1500,2536,1046039
1501,4504,1044071
1502,21688,1026887
1503,22840,1025735
1504,9232,1039343
1505,8584,1039991
1506,2260,1046315
1507,6784,1041791
1508,9232,1039343
1509,9232,1039343
1510,9232,1039343
1511,39364,1009211
1512,9232,1039343
1513,14560,1034015
1514,9232,1039343
1515,65608,982967
1516,2752,1045823
1517,4552,1044023
1518,5128,1043447
1519,25972,1022603
1520,9232,1039343
1521,9232,1039343
1522,2896,1045679
1523,6856,1041719
1524,9232,1039343
1525,9232,1039343
1526,9232,1039343
1527,10312,1038263
1528,4372,1044203
1529,5812,1042763
1530,4372,1044203
1531,8728,1039847
1532,13120,1035455
1533,13120,1035455
1534,39364,1009211
