n0,L,steps_to_1,max_N,max_M,theorem_ok,avg_H_N,avg_H_M,avg_H_diff,avg_ham_dist,final_M_at_N1
149,20,23,448,1048574,True,0.511915,0.511915,0.000000,20.000000,1048574
150,20,15,340,1048574,True,0.476942,0.476942,0.000000,20.000000,1048574
151,20,15,1024,1048574,True,0.450422,0.450422,0.000000,20.000000,1048574
152,20,23,152,1048574,True,0.516586,0.516586,0.000000,20.000000,1048574
153,20,36,520,1048574,True,0.558316,0.558316,0.000000,20.000000,1048574
154,20,23,232,1048574,True,0.535267,0.535267,0.000000,20.000000,1048574
155,20,85,9232,1048574,True,0.757815,0.757815,0.000000,20.000000,1048574
156,20,36,304,1048574,True,0.581445,0.581445,0.000000,20.000000,1048574
157,20,36,472,1048574,True,0.588690,0.588690,0.000000,20.000000,1048574
158,20,36,808,1048574,True,0.603977,0.603977,0.000000,20.000000,1048574
159,20,54,9232,1048574,True,0.699301,0.699301,0.000000,20.000000,1048574
160,20,10,160,1048574,True,0.385996,0.385996,0.000000,20.000000,1048574
161,20,98,9232,1048574,True,0.758731,0.758731,0.000000,20.000000,1048574
162,20,23,244,1048574,True,0.560447,0.560447,0.000000,20.000000,1048574
163,20,23,736,1048574,True,0.571899,0.571899,0.000000,20.000000,1048574
164,20,111,9232,1048574,True,0.756041,0.756041,0.000000,20.000000,1048574
165,20,111,9232,1048574,True,0.760638,0.760638,0.000000,20.000000,1048574
166,20,111,9232,1048574,True,0.761091,0.761091,0.000000,20.000000,1048574
167,20,67,9232,1048574,True,0.740413,0.740413,0.000000,20.000000,1048574
168,20,10,168,1048574,True,0.404013,0.404013,0.000000,20.000000,1048574
169,20,49,4372,1048574,True,0.695774,0.695774,0.000000,20.000000,1048574
170,20,10,256,1048574,True,0.365584,0.365584,0.000000,20.000000,1048574
171,20,124,9232,1048574,True,0.745028,0.745028,0.000000,20.000000,1048574
172,20,31,196,1048574,True,0.534599,0.534599,0.000000,20.000000,1048574
173,20,31,520,1048574,True,0.521583,0.521583,0.000000,20.000000,1048574
174,20,31,592,1048574,True,0.552489,0.552489,0.000000,20.000000,1048574
175,20,80,9232,1048574,True,0.752786,0.752786,0.000000,20.000000,1048574
176,20,18,176,1048574,True,0.480246,0.480246,0.000000,20.000000,1048574
177,20,31,532,1048574,True,0.543402,0.543402,0.000000,20.000000,1048574
178,20,31,304,1048574,True,0.553910,0.553910,0.000000,20.000000,1048574
179,20,31,808,1048574,True,0.567211,0.567211,0.000000,20.000000,1048574
180,20,18,180,1048574,True,0.483119,0.483119,0.000000,20.000000,1048574
